format,block,bits,target,seed,loss,baseline,ratio,predict_zero,r2,grad_survive
elementwise,1,1,grad,9,0.009864306077361107,0.009464801289141178,1.0422095272806493,6.451923370361328,0.9984711061320605,1.0
elementwise,1,2,grad,0,0.013703277334570885,0.013663075864315033,1.002942344070624,8.965968132019043,0.9984716343920926,1.0
elementwise,1,2,grad,1,0.010987476445734501,0.010934211313724518,1.0048714196645463,12.691564559936523,0.9991342693492322,1.0
elementwise,1,2,grad,2,0.017445364966988564,0.017455827444791794,0.9994006312312423,25.280773162841797,0.9993099354653983,1.0
elementwise,1,2,grad,3,0.012489301152527332,0.012325681746006012,1.0132746739606788,16.42084312438965,0.9992394238798873,1.0
elementwise,1,2,grad,4,0.02253175899386406,0.02263081818819046,0.9956228186934004,13.080814361572266,0.9982774956993461,1.0
elementwise,1,2,grad,5,0.013952983543276787,0.013845410197973251,1.0077696033389667,10.768573760986328,0.9987042867650843,1.0
elementwise,1,2,grad,6,0.00961165502667427,0.0095467958599329,1.0067938151912916,19.657512664794922,0.9995110441900471,1.0
elementwise,1,2,grad,7,0.012956148013472557,0.012847610749304295,1.0084480504808366,6.36583137512207,0.9979647359080064,1.0
elementwise,1,2,grad,8,0.018841711804270744,0.01875096559524536,1.004839548585615,10.376636505126953,0.9981842178055518,1.0
elementwise,1,2,grad,9,0.009491835720837116,0.009464801289141178,1.0028563126546517,6.451923370361328,0.9985288362592091,1.0
elementwise,1,3,grad,0,0.01375018060207367,0.013663075864315033,1.0063751924254578,8.965968132019043,0.9984664031368827,1.0
elementwise,1,3,grad,1,0.010911138728260994,0.010934211313724518,0.9978898719988553,12.691564559936523,0.9991402841882313,1.0
elementwise,1,3,grad,2,0.017479363828897476,0.017455827444791794,1.0013483396407372,25.280773162841797,0.9993085906148397,1.0
elementwise,1,3,grad,3,0.012372653931379318,0.012325681746006012,1.003810919861575,16.42084312438965,0.9992465274871908,1.0
elementwise,1,3,grad,4,0.022534606978297234,0.02263081818819046,0.9957486640963148,13.080814361572266,0.9982772779770885,1.0
elementwise,1,3,grad,5,0.013911101967096329,0.013845410197973251,1.0047446603736372,10.768573760986328,0.9987081760058611,1.0
elementwise,1,3,grad,6,0.00957458559423685,0.0095467958599329,1.0029108964632398,19.657512664794922,0.9995129299541857,1.0
elementwise,1,3,grad,7,0.012881849892437458,0.012847610749304295,1.0026650202750746,6.36583137512207,0.9979764073012081,1.0
elementwise,1,3,grad,8,0.018827978521585464,0.01875096559524536,1.004107144560045,10.376636505126953,0.9981855412866893,1.0
elementwise,1,3,grad,9,0.009494536556303501,0.009464801289141178,1.0031416684042207,6.451923370361328,0.9985284176498563,1.0
elementwise,1,4,grad,0,0.013660354539752007,0.013663075864315033,0.9998008263593021,8.965968132019043,0.9984764216938304,1.0
elementwise,1,4,grad,1,0.01093386672437191,0.010934211313724518,0.9999684852118986,12.691564559936523,0.9991384933927778,1.0
elementwise,1,4,grad,2,0.017473792657256126,0.017455827444791794,1.0010291813734498,25.280773162841797,0.9993088109867249,1.0
elementwise,1,4,grad,3,0.012344174087047577,0.012325681746006012,1.0015003097940247,16.42084312438965,0.9992482618588133,1.0
elementwise,1,4,grad,4,0.022606436163187027,0.02263081818819046,0.9989226184930354,13.080814361572266,0.9982717867910733,1.0
elementwise,1,4,grad,5,0.013840161263942719,0.013845410197973251,0.9996208899588037,10.768573760986328,0.9987147637587733,1.0
elementwise,1,4,grad,6,0.009539966471493244,0.0095467958599329,0.9992846407800215,19.657512664794922,0.9995146910682866,1.0
elementwise,1,4,grad,7,0.012844614684581757,0.012847610749304295,0.9997667998524394,6.36583137512207,0.9979822565305799,1.0
elementwise,1,4,grad,8,0.018770478665828705,0.01875096559524536,1.001040643506289,10.376636505126953,0.9981910825674047,1.0
elementwise,1,4,grad,9,0.00947209820151329,0.009464801289141178,1.000770952516508,6.451923370361328,0.9985318954274898,1.0
elementwise,1,5,grad,0,0.013671187683939934,0.013663075864315033,1.0005937037681307,8.965968132019043,0.998475213442359,1.0
elementwise,1,5,grad,1,0.010933766141533852,0.010934211313724518,0.9999592863007771,12.691564559936523,0.9991385013179503,1.0
elementwise,1,5,grad,2,0.01744990050792694,0.017455827444791794,0.9996604608470382,25.280773162841797,0.9993097560586646,1.0
elementwise,1,5,grad,3,0.012329621240496635,0.012325681746006012,1.0003196167621236,16.42084312438965,0.9992491481011603,1.0
elementwise,1,5,grad,4,0.022609351202845573,0.02263081818819046,0.9990514269008581,13.080814361572266,0.9982715639425886,1.0
elementwise,1,5,grad,5,0.013844002038240433,0.013845410197973251,0.9998982941124399,10.768573760986328,0.9987144070936862,1.0
elementwise,1,5,grad,6,0.009540831670165062,0.0095467958599329,0.9993752679060763,19.657512664794922,0.9995146470546473,1.0
elementwise,1,5,grad,7,0.01285348180681467,0.012847610749304295,1.0004569766024936,6.36583137512207,0.9979808636061196,1.0
elementwise,1,5,grad,8,0.018704980611801147,0.01875096559524536,0.9975475938446672,10.376636505126953,0.9981973946372161,1.0
elementwise,1,5,grad,9,0.009468475356698036,0.009464801289141178,1.0003881822179481,6.451923370361328,0.9985324569414147,1.0
elementwise,1,7,grad,0,0.013665934093296528,0.013663075864315033,1.00020919366985,8.965968132019043,0.9984757993903086,1.0
elementwise,1,7,grad,1,0.010934203863143921,0.010934211313724518,0.9999993185991762,12.691564559936523,0.9991384668287738,1.0
elementwise,1,7,grad,2,0.0174562931060791,0.017455827444791794,1.0000266765519297,25.280773162841797,0.9993095031946359,1.0
elementwise,1,7,grad,3,0.012323996052145958,0.012325681746006012,0.9998632372719991,16.42084312438965,0.9992494906650778,1.0
elementwise,1,7,grad,4,0.022633321583271027,0.02263081818819046,1.000110618849913,13.080814361572266,0.9982697314587874,1.0
elementwise,1,7,grad,5,0.013847937807440758,0.013845410197973251,1.0001825593775384,10.768573760986328,0.9987140416071058,1.0
elementwise,1,7,grad,6,0.009546352550387383,0.0095467958599329,0.9999535645726565,19.657512664794922,0.9995143662011988,1.0
elementwise,1,7,grad,7,0.01284659281373024,0.012847610749304295,0.9999207684919852,6.36583137512207,0.997981945788898,1.0
elementwise,1,7,grad,8,0.018752969801425934,0.01875096559524536,1.000106885491864,10.376636505126953,0.9981927699026404,1.0
elementwise,1,7,grad,9,0.009464895352721214,0.009464801289141178,1.0000099382519678,6.451923370361328,0.9985330118153293,1.0
elementwise,1,10,grad,0,0.013663874939084053,0.013663075864315033,1.0000584842517861,8.965968132019043,0.9984760290536514,1.0
elementwise,1,10,grad,1,0.010934230871498585,0.010934211313724518,1.0000017886771626,12.691564559936523,0.9991384647007182,1.0
